material_number,descripcion,forma,linea,fuente,fecha_agregado
21071505135,YETI SHOT GLASSES & CASE CSTM WTLDS CAMO,REGULAR,DC,auto_aprobado,2026-08-03
21071505151,RAMBLER 12 OZ TRAVEL BOTTLE CSTCHBLOSSOM,REGULAR,DC,auto_aprobado,2026-08-03
21071505180,RAMBLER 16 OZ TRAVEL BOTTLE CSTM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071505202,RAMBLER 30 OZ TRAVEL MUG CSTM CH BLOSSOM,REGULAR,DC,auto_aprobado,2026-08-03
21071505404,RAMBLER 42 OZ STRAW MUG CUSTOM LC PEACH,REGULAR,DC,auto_aprobado,2026-08-03
21071505675,BOOMER 8 DOG BOWL CUSTOM WETLANDS CAMO,REGULAR,DC,auto_aprobado,2026-08-03
21071505802,BOOMER 4 DOG BOWL CSTM TROPICAL PINK,REGULAR,DC,auto_aprobado,2026-08-03
21071505803,BOOMER 8 DOG BOWL CSTM TROPICAL PINK,REGULAR,DC,auto_aprobado,2026-08-03
21071506006,RAMBLER COLSTER 2.0 CSTM WETLANDS CAMO,REGULAR,DC,auto_aprobado,2026-08-03
21071506024,RAMBLER 10 OZ LOWBALL 2.0 MS CSTCBLOSSOM,REGULAR,DC,auto_aprobado,2026-08-03
21071506036,RAMBLER 10 OZ WINE MS CSTM CH BLOSSOM,REGULAR,DC,auto_aprobado,2026-08-03
21071506037,RAMBLER JR 12 OZ KIDS BOTTLE CST WETCAMO,REGULAR,DC,auto_aprobado,2026-08-03
21071506074,RAMBLER 20 OZ TUMBLER MS CST WET CAMO,REGULAR,DC,auto_aprobado,2026-08-03
21071506087,RAMBLER 26 OZ BOT CHUG CSTM WET CAMO,REGULAR,DC,auto_aprobado,2026-08-03
21071506099,RAMBLER 30 OZ TUMBLER MS CSTM CH BLOSSOM,REGULAR,DC,auto_aprobado,2026-08-03
21071506102,RAMBLER 30 OZ TUMBLER MS CST WET CAMO,REGULAR,DC,auto_aprobado,2026-08-03
21071506114,RAMBLER 36 OZ BOTTLE CHUG CST SOLARFLARE,REGULAR,DC,auto_aprobado,2026-08-03
21071506115,RAMBLER 36 OZ BTL CHUG CSTWETLANDSCAMO,REGULAR,DC,auto_aprobado,2026-08-03
21071506146,YETI SHOT GLASSES & CASE CSTM BF GREEN,REGULAR,DC,auto_aprobado,2026-08-03
21071506242,RAMBLER 20 OZ TRAVEL STR MUG CSTTROPPINK,REGULAR,DC,auto_aprobado,2026-08-03
21071506243,RAMBLER 20 OZ TRAVEL STR MUG CST NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071506244,RAMBLER 20 OZ TRAVEL STR MUG CST RRED,REGULAR,DC,auto_aprobado,2026-08-03
21071506245,RAMBLER 20 OZ TRAVEL STR MUG CST BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071506246,RAMBLER 20 OZ TRAVEL STR MUG CST WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071506252,RAMBLER 30 OZ TRAVEL STR MUG CST TROPPNK,REGULAR,DC,auto_aprobado,2026-08-03
21071506253,RAMBLER 30 OZ TRAVEL STR MUG CST NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071506254,RAMBLER 30 OZ TRAVEL STR MUG CST RESCRED,REGULAR,DC,auto_aprobado,2026-08-03
21071506255,RAMBLER 30 OZ TRAVEL STR MUG CST BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071506256,RAMBLER 30 OZ TRAVEL STR MUG CST WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071506287,RAMBLER 16 OZ TRAVEL BOTTLE CST CP TAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071506289,RAMBLER 20 OZ TRAVEL STR MUG CST CPTAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071506290,RAMBLER 30 OZ TRAVEL STR MUG CST CPTAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071506553,RAMBLER 20 OZ TUMBLER MS CSTM RED C,REGULAR,DC,auto_aprobado,2026-08-03
21071506554,RAMBLER 20 OZ TUMBLER MS CSTM RED B,REGULAR,DC,auto_aprobado,2026-08-03
21071506555,RAMBLER 20 OZ TUMBLER MS CSTM PURPLE B,REGULAR,DC,auto_aprobado,2026-08-03
21071506556,RAMBLER 20 OZ TUMBLER MS CSTM BLUE E,REGULAR,DC,auto_aprobado,2026-08-03
21071506558,RAMBLER 20 OZ TUMBLER MS CSTM ORANGE A,REGULAR,DC,auto_aprobado,2026-08-03
21071506561,RAMBLER 20 OZ TUMBLER MS CSTM NAVY A,REGULAR,DC,auto_aprobado,2026-08-03
21071506562,RAMBLER 20 OZ TUMBLER MS CSTM ORANGE B,REGULAR,DC,auto_aprobado,2026-08-03
21071506563,RAMBLER 20 OZ TUMBLER MS CSTM BLUE D,REGULAR,DC,auto_aprobado,2026-08-03
21071506564,RAMBLER 20 OZ TUMBLER MS CSTM GREEN C,REGULAR,DC,auto_aprobado,2026-08-03
21071506565,RAMBLER 20 OZ TUMBLER MS CSTM NAVY B,REGULAR,DC,auto_aprobado,2026-08-03
21071506570,RAMBLER 20 OZ TUMBLER MS CSTM BLUE C,REGULAR,DC,auto_aprobado,2026-08-03
21071506571,RAMBLER 20 OZ TUMBLER MS CSTM YELLOW A,REGULAR,DC,auto_aprobado,2026-08-03
21071506572,RAMBLER 20 OZ TUMBLER MS CSTM TEAL B,REGULAR,DC,auto_aprobado,2026-08-03
21071506573,RAMBLER 20 OZ TUMBLER MS CSTM PURPLE A,REGULAR,DC,auto_aprobado,2026-08-03
21071506576,RAMBLER 20 OZ TUMBLER MS CSTM BLUE G,REGULAR,DC,auto_aprobado,2026-08-03
21071506577,RAMBLER 20 OZ TUMBLER MS CSTM GREEN B,REGULAR,DC,auto_aprobado,2026-08-03
21071506578,RAMBLER 20 OZ TUMBLER MS CSTM GREEN D,REGULAR,DC,auto_aprobado,2026-08-03
21071506579,RAMBLER 20 OZ TUMBLER MS CSTM YELLOW B,REGULAR,DC,auto_aprobado,2026-08-03
21071506581,RAMBLER 20 OZ TUMBLER MS CSTM GREEN E,REGULAR,DC,auto_aprobado,2026-08-03
